,Model Year,Make,Model,Sold Price,Mileage
459,2019,infiniti,mpv,15010,11394
460,2019,jeep,mpv,5800,30546
461,2018,land,sport,23200,23745
462,2015,hyundai,door,8000,88274
463,2018,nissan,doors,3390,38349
464,2017,nissan,doors,3140,30142
465,2007,chevrolet,door,25,267834
466,2014,bmw,door,15000,44730
467,2011,chevrolet,cab,10440,92476
468,2017,ford,f-150,23911,25698
469,2010,ford,pk,25,155242
470,2018,gmc,acadia,21400,54332
471,2011,gmc,cab,5380,119215
472,2019,jeep,mpv,11000,8930
473,2019,jeep,mpv,4950,46985
474,2018,land,sport,22500,30220
475,2017,maserati,ghibli,30300,37021
476,2018,nissan,doors,2630,43152
477,2017,nissan,doors,3140,34318
478,2011,chevrolet,door,2300,88287
479,2011,chevrolet,door,4310,105486
480,2017,ford,door,26012,19850
481,2014,ford,door,75,116535
482,2019,gmc,1500,48500,15777
483,2009,gmc,mpv,3330,87448
484,2019,jeep,mpv,11200,8395
485,2019,hyundai,mpv,4730,30121
486,2018,mercedes-benz,glc,24900,33687
487,2017,mercedes-benz,e-class,29400,37561
488,2018,nissan,cab,8350,32256
489,2012,peterbilt,truck,475,902041
490,2017,nissan,doors,3210,25255
491,2006,chevrolet,van,25,165327
492,2006,chevrolet,cutaway,4200,118009
493,2011,chevrolet,utility,8430,114547
494,2017,ford,f-150,25503,18647
495,1996,ford,pickup,0,252588
496,2019,gmc,limited,26000,16669
497,2017,honda,doors,3900,47970
498,2019,jeep,mpv,11200,12905
499,2019,jeep,mpv,8610,22123
500,2018,mercedes-benz,gle,28000,40780
501,2017,mercedes-benz,sl-class,84900,25302
502,2017,lexus,mpv,10840,36596
503,2012,peterbilt,truck,100,0
504,2017,ram,door,11050,30421
505,2012,chevrolet,door,0,134938
506,2005,chevrolet,door,1000,135675
507,2015,dodge,door,3570,17355
508,2017,ford,door,25001,27773
509,2010,ford,door,0,86841
510,2017,gmc,mpv,5630,58366
511,2019,jeep,mpv,11100,11229
512,2019,hyundai,mpv,4650,27492
513,2005,lincoln,door,0,89705
514,2016,nissan,mpv,3820,41654
515,2009,peterbilt,truck,0,982486
516,2017,nissan,doors,2900,31954
518,2004,chevrolet,pickup,5100,173321
519,2015,dodge,door,4700,93423
520,2017,ford,f-150,29502,14053
521,2008,ford,door,0,145483
522,2017,honda,door,6160,25956
523,2019,jeep,mpv,10910,12253
524,2019,hyundai,doors,3440,34895
525,2016,mazda,cx-3,16000,47753
526,2016,kia,door,3810,39408
527,2010,peterbilt,truck,1025,1017936
528,2017,nissan,doors,3020,33599
530,2003,chevrolet,pickup,2000,507985
531,2010,ford,door,3870,185983
532,2017,ford,door,24811,28464
533,2007,ford,door,75,154989
534,2017,honda,doors,5420,16702
535,2019,jeep,mpv,11100,11449
536,2019,hyundai,mpv,4750,25847
537,2015,mercedes-benz,door,17900,49772
538,2015,nissan,door,3800,83915
539,2017,nissan,doors,3160,40306
541,2001,chevrolet,door,1200,149543
542,2010,chevrolet,coupe,6470,69622
543,2017,ford,door,26400,36295
544,1993,gmc,door,0,0
545,2018,gmc,2500hd,32500,14856
546,2017,honda,mpv,6900,44129
547,2019,jeep,mpv,11030,10861
548,2012,hyundai,door,3460,142106
549,2015,mercedes-benz,door,18000,82411
550,2015,hyundai,door,3250,111612
551,2017,nissan,doors,3210,35251
552,2017,chevrolet,door,13200,50408
553,2019,ford,f-150,27705,15630
554,2017,chevrolet,door,7200,53273
555,2019,ford,f-150,28714,14786
556,2017,chevrolet,door,11200,85315
557,2019,ford,f-150,27502,16146
558,2017,chevrolet,door,11900,76211
559,2019,ford,f-150,29314,15265
560,2017,chevrolet,door,11200,79965
561,2019,ford,f-150,27002,16059
562,2017,chevrolet,door,13200,62739
563,2019,ford,f-150,28214,15569
564,2017,chevrolet,door,12700,58932
565,2019,ford,f-150,29900,17488
566,2017,chevrolet,door,12700,60733
567,2019,ford,f-150,27202,18550
568,2018,chevrolet,impala,13500,53194
569,2019,ford,f-150,27705,17644
570,2016,chevrolet,van,14700,34454
571,2019,ford,f-150,29900,17684
572,2015,chevrolet,door,4500,83279
573,2019,ford,f-150,27705,16600
574,2015,chevrolet,door,8000,107971
575,2019,ford,f-150,25511,17801
576,2015,chevrolet,colorado,7700,94150
577,2019,ford,f-150,29900,17159
578,2015,chevrolet,van,7200,80711
579,2019,ford,f-150,27502,17983
580,2013,chevrolet,door,4500,119981
581,2019,ford,f-150,27402,17851
582,2013,chevrolet,sonic,1500,66079
583,2019,ford,f-150,26602,18174
584,2019,chevrolet,sonic,10200,7654
585,2019,ford,f-150,29900,18759
586,2019,chevrolet,colorado,14000,11564
587,2019,ford,f-150,28500,18901
588,2016,chevrolet,door,8000,86541
589,2019,ford,f-150,29809,21157
590,2015,chevrolet,corvette,36900,29937
591,2019,ford,f-150,26902,23964
592,2015,chevrolet,door,10950,58504
593,2019,ford,f-150,27402,20154
594,2014,acura,mdx,16900,63500
595,2019,ford,f-150,25600,23294
596,2016,bmw,series,29700,24293
597,2019,ford,f-150,27702,20343
598,2016,buick,encore,13500,19655
599,2019,ford,f-150,27102,19100
600,2019,ford,f-150,27102,20014
601,2019,ford,f-150,25811,21774
602,2019,ford,f-150,26602,21201
603,2019,ford,f-150,27102,21766
604,2019,buick,enclave,37500,12406
605,2019,ford,flex,26211,17977
606,2019,ford,flex,24205,22805
607,2019,cadillac,xt5,37500,16013
608,2019,ford,flex,27111,14382
609,2019,ford,flex,27411,9660
610,2019,ford,flex,27302,18969
611,2019,ford,f-150,27202,24730
612,2019,ford,flex,26311,15847
613,2019,ford,f-150,26602,25009
614,2017,bmw,series,33500,22115
615,2019,ford,flex,27511,11836
616,2017,buick,door,21500,23765
617,2019,ford,f-150,27200,25508
618,2019,ford,flex,26511,18196
619,2019,ford,flex,24002,16106
620,2017,buick,door,21500,14907
621,2019,ford,fusion,18511,12735
622,2017,kia,sorento,14000,53424
623,2017,buick,door,29000,17940
624,2019,ford,flex,23402,17417
625,2017,kia,door,13300,37125
626,2017,bmw,x3,19700,61428
627,2019,ford,flex,23211,17025
628,2017,kia,sorento,15500,37668
629,2019,ford,fusion,18111,15805
630,2017,kia,sorento,21500,43761
631,2019,ford,mustang,25511,11342
632,2017,chevrolet,equinox,17700,35664
633,2017,chevrolet,cutaway,28000,12780
634,2017,chevrolet,door,14000,38458
635,2017,chevrolet,door,21700,34420
636,2017,chevrolet,door,13500,46497
637,2017,chevrolet,1500,35500,21268
638,2017,chevrolet,1500,29500,31029
639,2017,chevrolet,1500,25300,40878
640,2016,chevrolet,1500,21500,20270
641,2016,chevrolet,door,25900,32984
642,2016,chevrolet,door,35300,75506
643,2016,chevrolet,door,13500,39951
644,2016,chevrolet,corvette,62000,19403
645,2016,chevrolet,corvette,46000,4445
646,2016,chevrolet,malibu,9000,67527
647,2016,chevrolet,door,25900,33588
648,2016,chevrolet,door,25800,10103
649,2016,chevrolet,door,17000,26474
650,2016,chevrolet,door,12800,40253
651,2016,chevrolet,3500,47400,39624
652,2016,chevrolet,door,24400,48705
653,2016,chevrolet,trax,17100,19659
654,2015,chevrolet,door,7400,91299
655,2015,chevrolet,door,33100,81614
656,2020,chevrolet,trax,22000,179
657,2019,chevrolet,1500,35000,5523
658,2019,chevrolet,equinox,16500,29841
659,2019,chevrolet,1500,35300,8516
661,2017,chevrolet,trax,11600,27498
662,2017,chevrolet,1500,28100,31141
663,2017,chevrolet,1500,27700,20784
664,2017,chevrolet,passenger,17700,52667
665,2017,chevrolet,volt,16600,26003
666,2016,chevrolet,corvette,63200,4266
667,2015,chevrolet,door,36800,32332
668,2018,chevrolet,passenger,19500,44333
669,2019,chevrolet,tahoe,38800,36198
670,2019,chevrolet,tahoe,37500,33331
671,2019,chevrolet,suburban,35000,43082
672,2019,chevrolet,camaro,31100,24561
673,2019,chevrolet,van,22600,13485
674,2019,chevrolet,van,22400,15524
675,2019,chevrolet,van,22700,8996
676,2019,chevrolet,malibu,13700,47282
677,2019,chevrolet,suburban,37100,34470
678,2018,chevrolet,colorado,18500,87264
679,2017,chevrolet,2500,18300,114344
680,2017,chevrolet,2500,19000,111635
681,2017,chevrolet,1500,18500,103955
682,2016,chevrolet,door,22500,66640
683,2014,chevrolet,door,14500,122018
684,2018,chevrolet,tahoe,32800,46915
685,2018,chevrolet,malibu,12300,53599
686,2018,chevrolet,1500,19600,41672
687,2018,chevrolet,malibu,13600,36047
688,2018,chevrolet,spark,7200,42561
689,2018,chevrolet,1500,19900,40345
690,2018,chevrolet,malibu,13000,41751
691,2016,chevrolet,door,19700,27593
692,2017,chevrolet,door,9400,24009
693,2017,chevrolet,1500,23800,85697
694,2019,chevrolet,equinox,17700,25223
695,2015,chevrolet,door,17000,27927
696,2014,chevrolet,door,14000,135127
697,2018,chevrolet,2500,32100,55532
698,2019,chevrolet,2500,33100,72172
699,2018,chevrolet,2500,31600,57751
700,2013,chevrolet,door,5100,96314
701,2013,chevrolet,door,4100,89152
702,2014,chevrolet,door,7200,114660
703,2014,chevrolet,1500,12800,177322
