,Model Year,Make,Model,Sold Price,Mileage,Base MSRP
74,2017,gmc,door,11900.0,27965.0,0.0
75,2017,gmc,door,12710.0,30049.0,0.0
76,2017,gmc,door,12520.0,28972.0,0.0
77,2017,gmc,door,13490.0,27842.0,0.0
78,2017,gmc,door,12710.0,32504.0,0.0
79,2017,gmc,door,12780.0,31009.0,0.0
80,2017,gmc,door,12520.0,30636.0,0.0
81,2017,gmc,door,12520.0,31992.0,0.0
82,2017,gmc,door,13200.0,33457.0,0.0
83,2018,chevrolet,malibu,14600.0,9371.0,0.0
84,2018,chevrolet,malibu,6000.0,42090.0,0.0
85,2018,chevrolet,malibu,12300.0,53599.0,0.0
86,2018,chevrolet,malibu,13600.0,36047.0,0.0
87,2018,chevrolet,malibu,13000.0,41751.0,0.0
88,2018,chevrolet,malibu,10200.0,45836.0,0.0
89,2017,ford,mpv,5250.0,63418.0,0.0
90,2017,ford,mpv,5210.0,35714.0,0.0
91,2017,ford,mpv,6180.0,46010.0,0.0
92,2017,ford,mpv,5330.0,37792.0,0.0
93,2017,ford,mpv,7320.0,32366.0,0.0
94,2017,ford,mpv,6330.0,38123.0,0.0
95,2017,ford,mpv,7760.0,44794.0,0.0
96,2017,ford,mpv,5990.0,44929.0,0.0
97,2017,ford,mpv,10780.0,40455.0,0.0
98,2017,ford,mpv,7070.0,45191.0,0.0
99,2017,ford,mpv,7000.0,29882.0,0.0
100,2017,ford,mpv,6980.0,29168.0,0.0
101,2017,ford,mpv,7070.0,30318.0,0.0
102,2017,ford,mpv,6830.0,35888.0,0.0
103,2017,ford,mpv,7320.0,55618.0,0.0
104,2017,ford,mpv,0.0,76858.0,0.0
105,2017,ford,mpv,7420.0,55854.0,0.0
106,2017,ford,mpv,4530.0,41455.0,0.0
107,2009,dodge,coupe,10400.0,107856.0,0.0
108,2017,gmc,mpv,12920.0,39650.0,0.0
109,2017,gmc,mpv,12710.0,39886.0,0.0
110,2017,gmc,mpv,12920.0,39165.0,0.0
111,2017,gmc,mpv,9190.0,41961.0,0.0
112,2017,gmc,mpv,5520.0,52904.0,0.0
113,2017,gmc,mpv,5520.0,35821.0,0.0
114,2017,gmc,mpv,6270.0,70443.0,0.0
115,2017,gmc,mpv,5600.0,59808.0,0.0
116,2017,gmc,mpv,5630.0,27195.0,0.0
117,2017,gmc,mpv,6300.0,117400.0,0.0
118,2017,gmc,mpv,9270.0,19490.0,0.0
119,2017,gmc,mpv,9190.0,31394.0,0.0
120,2017,gmc,mpv,5630.0,58366.0,0.0
121,2017,chrysler,wagon,5430.0,138650.0,0.0
122,2013,ford,door,20700.0,100757.0,0.0
123,2013,ford,door,38100.0,54380.0,0.0
124,2013,ford,door,20800.0,105510.0,0.0
125,2013,ford,door,0.0,94004.0,0.0
126,2013,ford,door,1500.0,126381.0,0.0
127,2013,ford,door,2200.0,128753.0,0.0
128,2013,ford,door,4200.0,0.0,0.0
129,2013,ford,door,5000.0,202565.0,0.0
130,2013,ford,door,54000.0,703.0,0.0
131,2013,ford,door,21000.0,95386.0,0.0
132,2013,ford,door,2000.0,105743.0,0.0
133,2013,ford,door,15000.0,146807.0,0.0
134,2013,ford,door,11000.0,84752.0,0.0
135,2013,ford,door,1500.0,113444.0,0.0
136,2013,ford,door,2700.0,103541.0,0.0
137,2013,ford,door,2000.0,175640.0,0.0
138,2013,ford,door,6000.0,140870.0,0.0
139,2013,ford,door,7200.0,82670.0,0.0
140,2013,ford,door,10000.0,119869.0,0.0
141,2013,ford,door,5700.0,89490.0,0.0
142,2013,ford,door,13200.0,138524.0,0.0
143,2013,ford,door,5500.0,109600.0,0.0
144,2013,ford,door,11200.0,122861.0,0.0
145,2013,ford,door,9300.0,82072.0,0.0
146,2013,ford,door,7400.0,133314.0,0.0
147,2013,ford,door,26000.0,70106.0,0.0
148,2013,ford,door,23500.0,74195.0,0.0
149,2013,ford,door,2800.0,110748.0,0.0
150,2013,ford,door,6400.0,91652.0,0.0
151,2013,ford,door,23000.0,88781.0,0.0
152,2013,ford,door,5300.0,143191.0,0.0
153,2013,ford,door,7000.0,104764.0,0.0
154,2013,ford,door,3800.0,58913.0,0.0
155,2013,ford,door,3200.0,999999.0,0.0
156,2013,ford,door,5200.0,115429.0,0.0
157,2013,ford,door,23500.0,80090.0,0.0
158,2013,ford,door,4700.0,118593.0,0.0
159,2013,ford,door,14000.0,48408.0,0.0
160,2013,ford,door,9200.0,109672.0,0.0
161,2013,ford,door,2500.0,167552.0,0.0
162,2013,ford,door,34700.0,77281.0,0.0
163,2013,ford,door,15400.0,123983.0,0.0
164,2018,kia,forte,5200.0,46194.0,0.0
165,2018,kia,forte,7300.0,38823.0,0.0
166,2018,buick,encore,16500.0,20002.0,0.0
167,2015,chevrolet,door,15000.0,61578.0,0.0
168,2015,chevrolet,door,37000.0,45787.0,0.0
169,2015,chevrolet,door,4500.0,83279.0,0.0
170,2015,chevrolet,door,8000.0,107971.0,0.0
171,2015,chevrolet,door,10950.0,58504.0,0.0
172,2015,chevrolet,door,7400.0,91299.0,0.0
173,2015,chevrolet,door,33100.0,81614.0,0.0
174,2015,chevrolet,door,36800.0,32332.0,0.0
175,2015,chevrolet,door,17000.0,27927.0,0.0
176,2015,chevrolet,door,15500.0,79506.0,0.0
